discente;faltas_unidade;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade;reprovou;desempenho_exatas;historico_reprovacao;primeira_vez_pagando;n1_std_turma;prof_c1_tx_reprovacao;professor_tx_reprovao
ef9181bc5150462578a6ff0e59cc624a;0.0;57586012;0.2;0.5;48.0;f;1.0;True;4.0;0;1;-0.842959382086753;-0.49804312750741325;0.65625
a4b94a0d0fcb6786ef3cb71a135f84f0;0.0;57586012;0.0;0.0;60.0;f;1.0;True;5.31615925058548;-1;0;-1.0169994699502656;-0.2174774530560776;0.65625
9ef4d2e3d08606695507bf55887ab387;0.0;57586012;0.0;0.10000000099999999;38.0;f;1.0;True;5.0;0;1;-0.9821914520294829;-0.2174774530560776;0.65625
9cb800868083ed92ebd25444fdeca829;0.0;57586012;0.0;0.0;26.0;f;1.0;True;5.0;0;1;-1.0169994699502656;-0.2174774530560776;0.65625
d4c400768c23e80cf85919f4fe161dc8;0.0;57586012;0.2;0.5;12.0;f;1.0;True;3.0;0;0;-0.842959382086753;-0.23100104821802936;0.65625
53916a9b9481f4ace7b1f3f957db6de3;0.0;57586012;2.3;0.699999988;4.0;f;1.0;True;6.0;0;0;-0.77334335111831;0.5379979035639413;0.65625
11a72104a16199deb61735cc20f427cb;0.0;57586012;0.3;0.800000012;32.0;f;1.0;True;5.31615925058548;-1;0;-0.7385353251916833;-0.2174774530560776;0.65625
08ef2b6e139769498b806e92ceaf2695;0.0;57586012;3.9;4.80000019;4.0;f;1.0;True;7.0;0;0;0.6537854396746893;0.5379979035639413;0.65625
2708e5252cee38e92cbcd67d95026095;0.0;57586012;0.0;0.0;20.0;f;1.0;True;4.0;0;0;-1.0169994699502656;-0.23100104821802936;0.65625
8f8663ce10ea1a62aaff4ae3c7765930;0.0;57586012;2.2;0.300000012;8.0;f;1.0;True;5.0;0;0;-0.912575413055196;-0.23100104821802936;0.65625
da86fd56a9a23b9e8070c6c17fc18398;0.0;57586012;0.4;0.600000024;32.0;f;1.0;True;3.0;0;0;-0.8081513561601263;-0.24706469126111985;0.65625
3a469e8909cba11153f7a8608a9af8a9;0.0;57586012;0.0;0.0;48.0;f;1.0;True;4.0;0;0;-1.0169994699502656;-1.0;0.65625
f3b983cb882a3d1d62eac7ca71732ac0;0.0;57586012;1.3;1.0;30.0;f;1.0;True;8.0;0;0;-0.6689192942232404;0.5379979035639413;0.65625
